Date,Open,High,Low,Close,Adj Close,Volume
1987-09-10,167.440002,168.979996,167.440002,168.970001,168.970001,179800000.0
1987-09-11,168.970001,170.539993,168.75,170.539993,170.539993,178000000.0
1987-09-14,170.529999,170.949997,170.149994,170.429993,170.429993,154400000.0
1987-09-15,170.419998,170.440002,169.130005,169.199997,169.199997,136200000.0
1987-09-16,169.309998,170.029999,168.820007,168.919998,168.919998,195700000.0
1987-09-17,168.919998,169.25,168.539993,168.820007,168.820007,150700000.0
1987-09-18,168.820007,169.039993,168.75,168.75,168.75,188100000.0
1987-09-21,168.75,169.130005,167.360001,167.399994,167.399994,170100000.0
1987-09-22,167.399994,167.559998,166.690002,167.559998,167.559998,209500000.0
1987-09-23,167.559998,168.649994,167.550003,168.649994,168.649994,220300000.0
1987-09-24,168.649994,169.059998,168.520004,168.720001,168.720001,162200000.0
1987-09-25,168.720001,168.850006,168.429993,168.850006,168.850006,138000000.0
1987-09-28,168.839996,169.800003,168.839996,169.520004,169.520004,188100000.0
1987-09-29,169.520004,169.690002,168.889999,169.059998,169.059998,173500000.0
1987-09-30,169.050003,170.809998,168.679993,170.809998,170.809998,183100000.0
1987-10-01,170.820007,171.399994,170.25,171.399994,171.399994,193200000.0
1987-10-02,171.399994,172.089996,171.399994,172.080002,172.080002,189100000.0
1987-10-05,172.089996,172.550003,172.089996,172.539993,172.539993,159700000.0
1987-10-06,172.550003,172.619995,170.130005,170.210007,170.210007,175600000.0
1987-10-07,170.210007,170.210007,168.479996,168.869995,168.869995,186300000.0
1987-10-08,168.869995,168.979996,166.779999,167.059998,167.059998,198700000.0
1987-10-09,167.059998,167.110001,166.009995,166.119995,166.119995,158300000.0
1987-10-12,166.110001,166.110001,163.389999,163.860001,163.860001,141900000.0
1987-10-13,163.860001,164.419998,163.630005,164.139999,164.139999,172900000.0
1987-10-14,164.149994,164.160004,161.589996,161.789993,161.789993,207400000.0
1987-10-15,161.800003,161.800003,159.600006,159.660004,159.660004,263200000.0
1987-10-16,159.660004,159.660004,152.610001,152.740005,152.740005,338500000.0
1987-10-19,152.740005,152.740005,133.600006,133.600006,133.600006,604300000.0
1987-10-20,133.600006,133.600006,120.209999,121.389999,121.389999,608100000.0
1987-10-21,121.389999,130.770004,121.389999,130.649994,130.649994,449600000.0
1987-10-22,130.649994,130.649994,124.470001,124.57,124.57,392200000.0
1987-10-23,124.580002,124.580002,121.360001,121.589996,121.589996,245600000.0
1987-10-26,121.580002,121.580002,110.32,110.330002,110.330002,308800000.0
1987-10-27,110.32,113.120003,108.370003,108.510002,108.510002,260200000.0
1987-10-28,105.459999,108.5,105.459999,106.080002,106.080002,279400000.0
1987-10-29,106.07,110.800003,106.059998,110.800003,110.800003,258100000.0
1987-10-30,110.790001,118.260002,107.900002,118.260002,118.260002,303400000.0
1987-11-02,118.269997,120.220001,118.269997,120.209999,120.209999,176000000.0
1987-11-03,120.199997,122.050003,116.919998,117.720001,117.720001,227800000.0
1987-11-04,117.730003,117.75,116.389999,117.199997,117.199997,202500000.0
1987-11-05,117.190002,118.940002,117.18,118.940002,118.940002,226000000.0
1987-11-06,118.940002,120.089996,118.940002,119.330002,119.330002,228290000.0
1987-11-09,119.32,119.32,117.260002,117.620003,117.620003,160690000.0
1987-11-10,117.620003,117.620003,115.25,115.559998,115.559998,184310000.0
1987-11-11,115.57,116.68,115.5,116.260002,116.260002,147850000.0
1987-11-12,116.260002,118.669998,116.209999,118.349998,118.349998,206280000.0
1987-11-13,118.349998,118.639999,118.099998,118.309998,118.309998,174920000.0
1987-11-16,118.32,119.019997,118.010002,118.269997,118.269997,164340000.0
1987-11-17,118.260002,118.269997,116.040001,116.300003,116.300003,148240000.0
1987-11-18,116.300003,116.690002,115.760002,116.690002,116.690002,158260000.0
1987-11-19,116.690002,116.690002,115.040001,115.110001,115.110001,157140000.0
1987-11-20,115.110001,115.150002,113.839996,114.449997,114.449997,189170000.0
1987-11-23,114.449997,114.5,114.089996,114.470001,114.470001,143160000.0
1987-11-24,114.470001,115.879997,114.290001,115.580002,115.580002,199520000.0
1987-11-25,115.580002,115.970001,115.389999,115.970001,115.970001,139780000.0
1987-11-27,115.959999,115.959999,115.529999,115.610001,115.610001,86360000.0
1987-11-30,115.599998,115.629997,110.559998,111.699997,111.699997,268910000.0
1987-12-01,111.690002,112.089996,111.129997,111.269997,111.269997,149870000.0
1987-12-02,111.269997,111.300003,110.830002,111.110001,111.110001,148890000.0
1987-12-03,111.110001,111.150002,108.860001,108.940002,108.940002,204160000.0
1987-12-04,108.940002,108.940002,106.190002,106.5,106.5,184800000.0
1987-12-07,106.489998,106.519997,106.160004,106.43,106.43,146660000.0
1987-12-08,106.440002,107.239998,106.379997,107.239998,107.239998,227310000.0
1987-12-09,107.239998,108.889999,107.239998,108.889999,108.889999,231430000.0
1987-12-10,108.889999,109.059998,107.199997,108.620003,108.620003,188960000.0
1987-12-11,108.629997,109.32,108.540001,109.32,109.32,151680000.0
1987-12-14,109.309998,112.07,109.099998,112.07,112.07,187680000.0
1987-12-15,112.07,114.360001,112.07,114.360001,114.360001,214970000.0
1987-12-16,114.360001,116.839996,113.870003,116.82,116.82,193820000.0
1987-12-17,116.82,117.309998,116.25,116.940002,116.940002,191780000.0
1987-12-18,116.940002,119.459999,116.449997,119.459999,119.459999,276220000.0
1987-12-21,119.449997,119.919998,119.25,119.919998,119.919998,161790000.0
1987-12-22,119.919998,119.93,118.75,119.309998,119.309998,192650000.0
1987-12-23,119.309998,120.82,119.309998,120.800003,120.800003,203110000.0
1987-12-24,120.790001,121.589996,120.790001,121.589996,121.589996,108800000.0
1987-12-28,121.589996,121.589996,118.68,119.0,119.0,131220000.0
1987-12-29,118.989998,118.989998,118.019997,118.300003,118.300003,111580000.0
1987-12-30,118.309998,119.5,118.300003,119.5,119.5,149230000.0
1987-12-31,119.5,120.419998,118.610001,120.419998,120.419998,170140000.0
1988-01-04,120.43,123.510002,120.43,123.5,123.5,181810000.0
1988-01-05,123.5,126.550003,123.5,126.129997,126.129997,209520000.0
1988-01-06,126.129997,127.0,126.129997,127.0,127.0,169730000.0
1988-01-07,127.0,128.029999,126.529999,128.029999,128.029999,175360000.0
1988-01-08,128.029999,128.190002,123.839996,123.839996,123.839996,197300000.0
1988-01-11,123.839996,123.839996,121.580002,122.519997,122.519997,158980000.0
1988-01-12,122.510002,122.669998,120.519997,121.230003,121.230003,165730000.0
1988-01-13,121.239998,121.449997,120.489998,121.300003,121.300003,154020000.0
1988-01-14,121.309998,121.980003,121.150002,121.779999,121.779999,140570000.0
1988-01-15,121.779999,124.199997,121.779999,123.669998,123.669998,197940000.0
1988-01-18,123.68,124.099998,123.68,124.050003,124.050003,135100000.0
1988-01-19,124.040001,124.440002,123.610001,124.440002,124.440002,153550000.0
1988-01-20,124.440002,124.440002,121.489998,121.760002,121.760002,181660000.0
1988-01-21,121.760002,121.760002,121.120003,121.629997,121.629997,158080000.0
1988-01-22,121.629997,122.790001,121.629997,122.790001,122.790001,147050000.0
1988-01-25,122.779999,123.68,122.779999,123.68,123.68,275250000.0
1988-01-26,123.669998,123.68,123.169998,123.25,123.25,138380000.0
1988-01-27,123.239998,123.639999,123.220001,123.370003,123.370003,176360000.0
